filename,title,year
354_head-of-a-man-1908-2.jpg,head of a man,1908
355_head-of-woman-1908.jpg,head of woman,1908
356_house-in-a-garden-1908.jpg,house in a garden,1908
357_house-in-the-garden-1908.jpg,house in the garden,1908
358_jug-and-fruit-dish-1908.jpg,jug and fruit dish,1908
359_pitcher-and-bowls-1908.jpg,pitcher and bowls,1908
360_pot-glass-and-book-1908.jpg,pot glass and book,1908
361_queen-isabella-1908.jpg,queen isabella,1908
362_reclining-nude-1908.jpg,reclining nude,1908
363_reclining-nude-1908-1.jpg,reclining nude,1908
365_seated-woman-1908.jpg,seated woman,1908
366_standing-female-nude-1908.jpg,standing female nude,1908
367_standing-nude-1908.jpg,standing nude,1908
369_three-women-1908.jpg,three women,1908
36_snackbar-in-the-open-air-1900.jpg,snackbar in the open air,1900
370_three-women-rhythmical-version-1908.jpg,three women rhythmical version,1908
372_head-of-a-woman-1909.jpg,head of a woman,1909
373_portrait-of-fernande-olivier-1909.jpg,portrait of fernande olivier,1909
374_the-reservoir-horta-de-ebro-1909.jpg,the reservoir horta de ebro,1909
375_young-woman-1909.jpg,young woman,1909
376_bathers-drying-themselves-1909.jpg,bathers drying themselves,1909
379_carnival-at-the-bistro-1909.jpg,carnival at the bistro,1909
37_stuffed-shirts-1900.jpg,stuffed shirts,1900
380_fruit-in-a-vase-1909.jpg,fruit in a vase,1909
381_harlequin-leaning-1909.jpg,harlequin leaning,1909
382_houses-on-the-hill-1909.jpg,houses on the hill,1909
383_nude-1909.jpg,nude,1909
384_portrait-of-manuel-pallares-1909.jpg,portrait of manuel pallares,1909
385_seated-woman-1909.jpg,seated woman,1909
386_still-life-with-bottle-of-anis-del-mono-1909.jpg,still life with bottle of anis del mono,1909
387_woman-and-pears-fernande-1909.jpg,woman and pears fernande,1909
388_woman-with-a-mandolin-1909.jpg,woman with a mandolin,1909
389_woman-with-mandolin-1909.jpg,woman with mandolin,1909
38_the-brutal-embrace-1900.jpg,the brutal embrace,1900
392_girl-with-mandolin-fanny-tellier-1910.jpg,girl with mandolin fanny tellier,1910
393_guitar-player-1910.jpg,guitar player,1910
395_portrait-of-ambroise-vollard-1910.jpg,portrait of ambroise vollard,1910
396_portrait-of-daniel-henry-kahnweiler-1910.jpg,portrait of daniel henry kahnweiler,1910
397_seated-female-nude-1910.jpg,seated female nude,1910
